family_name,days_total,pos_days,zero_days,zero_rate,pos_rate,qty_total,qty_avg_all_days,qty_avg_pos_days,qty_std_pos_days,years_count,active_months,adi,cv2_pos,peak_doy,season_start_p25,season_start_p50,season_start_p75,demand_class,data_quality_class,seasonality_class
arancio,6273,227,6046,0.9638,0.0362,267.0,0.0426,1.1762,0.5193,18,12,27.2743,0.1949,78,32.5,54.5,77.2,intermittent,strong,all_year
pittosporum,6273,227,6046,0.9638,0.0362,392.0,0.0625,1.7269,1.1072,18,12,27.6283,0.4111,99,17.2,43.5,66.8,intermittent,strong,all_year
aloe,6273,230,6042,0.9632,0.0367,293.0,0.0467,1.2783,0.5615,18,12,25.7467,0.1929,98,28.0,68.0,168.0,intermittent,strong,all_year
philodendron,6273,237,6036,0.9622,0.0378,285.0,0.0454,1.2025,0.5299,18,12,18.9746,0.1942,286,15.0,20.0,26.0,intermittent,strong,all_year
euphorbiatrigona,6273,244,6029,0.9611,0.0389,293.0,0.0467,1.2008,0.5098,18,12,21.572,0.1803,120,10.0,36.0,142.0,intermittent,strong,all_year
melissa,6273,252,6021,0.9598,0.0402,375.0,0.0598,1.4881,0.9593,18,12,17.3785,0.4155,92,51.5,63.0,78.8,intermittent,strong,all_year
sanseveria zeylanica,6273,255,6018,0.9593,0.0407,302.0,0.0481,1.1843,0.4954,18,12,24.6102,0.175,324,7.0,13.0,23.0,intermittent,strong,all_year
ardisia,6273,262,6011,0.9582,0.0418,407.0,0.0649,1.5534,1.0185,18,8,23.8697,0.4299,342,6.2,29.5,300.5,intermittent,strong,broad_seasonal
erba pepe,6273,268,6005,0.9573,0.0427,425.0,0.0678,1.5858,1.0688,18,12,12.2959,0.4543,96,47.2,59.5,69.8,intermittent,strong,all_year
aglaonema,6273,275,5998,0.9562,0.0438,329.0,0.0524,1.1964,0.545,18,12,18.635,0.2076,280,10.0,12.0,16.0,intermittent,strong,all_year
cambria,6273,275,5998,0.9562,0.0438,349.0,0.0556,1.2691,0.7596,18,12,21.1971,0.3582,171,33.0,67.0,91.0,intermittent,strong,all_year
cordyline,6273,278,5995,0.9557,0.0443,425.0,0.0678,1.5288,1.0668,18,12,21.5632,0.487,85,8.0,23.0,47.0,intermittent,strong,all_year
dracena lemon lime,6273,280,5993,0.9554,0.0446,338.0,0.0539,1.2071,0.4863,18,12,20.6416,0.1623,53,7.0,15.0,61.0,intermittent,strong,all_year
magnolia,6273,286,5986,0.9542,0.0456,386.0,0.0615,1.3531,0.9009,18,12,21.7789,0.4433,75,44.2,56.0,63.8,intermittent,strong,all_year
asplenium,6273,289,5984,0.9539,0.0461,395.0,0.063,1.3668,0.9485,18,12,21.566,0.4816,61,6.0,8.5,47.5,intermittent,strong,all_year
cyperus,6273,304,5969,0.9515,0.0485,425.0,0.0678,1.398,0.9314,18,12,19.4983,0.4438,170,85.0,104.0,110.0,intermittent,strong,all_year
scindapsus pictus,6273,304,5969,0.9515,0.0485,488.0,0.0778,1.6053,1.0446,18,12,5.802,0.4235,135,12.5,41.5,78.0,intermittent,strong,all_year
kiwi,6273,304,5969,0.9515,0.0485,608.0,0.0969,2.0,1.3075,18,12,20.5809,0.4274,97,22.0,32.5,40.2,intermittent,strong,all_year
echinocactus grusonii,6273,311,5962,0.9504,0.0496,391.0,0.0623,1.2572,0.7081,18,12,20.0806,0.3172,263,7.2,16.5,46.5,intermittent,strong,all_year
"sanseveria zeylanica
",40,2,38,0.95,0.05,2.0,0.05,1.0,0.0,1,1,18.0,0.0,40,,,,intermittent,weak,very_narrow
aloe arborescens,6273,316,5957,0.9496,0.0504,379.0,0.0604,1.1994,0.5358,18,12,19.0254,0.1996,109,9.0,21.0,67.0,intermittent,strong,all_year
bonsai olivo,6273,316,5957,0.9496,0.0504,395.0,0.063,1.25,0.7833,18,12,18.8032,0.3926,283,7.0,12.0,70.0,intermittent,strong,all_year
platycerium,6273,328,5945,0.9477,0.0523,375.0,0.0598,1.1433,0.4569,18,12,19.0948,0.1597,41,13.2,20.5,39.5,intermittent,strong,all_year
aphelandra,6273,332,5941,0.9471,0.0529,481.0,0.0767,1.4488,0.8005,18,12,18.8701,0.3053,232,38.0,142.0,227.0,intermittent,strong,all_year
camelia,6273,340,5933,0.9458,0.0542,518.0,0.0826,1.5235,0.9878,18,12,18.3923,0.4204,64,13.0,52.0,132.0,intermittent,strong,all_year
lucky bamboo,6273,345,5928,0.945,0.055,517.0,0.0824,1.4986,0.9798,18,12,7.4244,0.4275,88,5.5,11.0,69.5,intermittent,strong,all_year
cocos nucifera,6273,349,5924,0.9444,0.0556,452.0,0.0721,1.2951,0.6079,18,12,16.3477,0.2203,155,86.5,111.0,205.0,intermittent,strong,all_year
